word,ortho_syl,phon_syl,syl_count
behaviourist,be-hav-iour-ist,bɪ.heɪ.vjə.ɹɪst,4.0
asteroid,as-ter-oid,æ.stə.ɹɔɪd,3.0
alienist,al-ien-ist,eɪ.ljə.nɪst,3.0
aperture,ap-er-ture,æ.pə.tjʊɚR,3.0
bronchial,bron-chi-al,bɹɑŋ.kjəl,2.0
appetizing,ap-pe-tiz-ing,æ.pɪ.taɪ.zɪŋ,4.0
AD,AD,"eɪ.diː,2.0
acidulate,a-cid-u-late,ə.sɪ.djʊ.leɪt,4.0
bisexual,bi-sex-u-al,"baɪ.sɛk.ʃʊɚl,3.0
air-cooling,air--cool-ing,ɛɚ."kuː.lɪŋ,3.0
ambiguousness,am-big-u-ous-ness,æm.bɪ.gjʊɚs.nɪs,4.0
brothel,broth-el,bɹɑ.θəl,2.0
accordingly,ac-cord-ing-ly,ə.kɔɚ.dɪŋ.lɪ,4.0
cerebral,cer-e-bral,sɛ.ɹɪ.bɹəl,3.0
busman's holiday,bus-man's hol-i-day,"bʌs.mənz.hɑ.lə.deɪ,5.0
adequate,ad-e-quate,æ.dɪ.kwət,3.0
academy,a-cad-e-my,ə.kæ.də.mɪ,4.0
aged,aged,eɪ.dʒɪd,2.0
alternating current,al-ter-nat-ing cur-rent,"ɔɚl.tə.neɪ.tɪŋ.kʌ.ɹənt,6.0
anchorage,an-chor-age,æŋ.kə.ɹɪdʒ,3.0
behaviourism,be-hav-iour-ism,bɪ.heɪ.vjə.ɹɪ.zəm,5.0
accursed,ac-curs-ed,ə.kɚ.sɪd,3.0
bulgy,bulg-y,bʌl.dʒɪ,2.0
aesthetics,aes-thet-ics,iːs.θɛ.tɪks,3.0
adoration,ad-o-ra-tion,"æ.də.ɹeɪ.ʃən,4.0
chock-a-block,chock--a--block,"tʃɑ.kə.blɑk,3.0
agitator,ag-i-ta-tor,æ.dʒɪ.teɪ.təR,4.0
bubonic plague,bu-bon-ic plague,bjuː."bɑ.nɪk.pleɪg,4.0
chastise,chas-tise,tʃæ.staɪz,2.0
ar^ete,ar-ete,ə.ɹɛt,2.0
camping,camp-ing,kæm.pɪŋ,2.0
Bahamian,Ba-ha-mi-an,bə.heɪ.mɪɚn,3.0
butcher,butch-er,bʊ.tʃəR,2.0
businesswoman,busi-ness-wom-an,bɪz.nɪs."wʊ.mən,4.0
capital expenditure,cap-i-tal ex-pend-i-ture,"kæ.pɪ.təl.ɪk.spɛn.dɪ.tʃəR,7.0
apathetically,ap-a-thet-i-cal-ly,"æ.pə.θɛ.tɪ.kə.lɪ,6.0
breathalyser,breath-a-lys-er,bɹɛ.θə.laɪ.zəR,4.0
CID,CID,"siː.aɪ.diː,3.0
aspect,as-pect,æ.spɛkt,2.0
carillon,car-il-lon,kæ.ɹɪl.jən,3.0
absorbent,ab-sorb-ent,əb.sɔɚ.bənt,3.0
banker,bank-er,bæŋ.kəR,2.0
altogether,al-to-geth-er,"ɔɚl.tə.gɛ.ðəR,4.0
colourful,col-our-ful,kʌ.lə.fʊl,3.0
ceremoniousness,cer-e-mo-ni-ous-ness,"sɛ.ɹɪ.moʊ.njəs.nɪs,5.0
actinic,ac-tin-ic,æk.tiː.nɪk,3.0
bigamist,big-a-mist,bɪ.gə.mɪst,3.0
aerobatics,aer-o-bat-ics,"ɛɚ.ɹoʊ.bæ.tɪks,4.0
antagonistically,an-tag-o-nis-ti-cal-ly,æn."tæ.gə.nɪ.stɪ.kə.lɪ,7.0
approachable,ap-proach-a-ble,ə.pɹoʊ.tʃə.bəl,4.0
beery,beer-y,bɪɚ.ɹɪ,2.0
administer to,ad-min-is-ter to,əd.mɪ.nɪ.stə.tuː,5.0
closefisted,close-fist-ed,"kloʊs.fɪ.stɪd,3.0
blather,blath-er,blæ.ðəR,2.0
castigate,cas-ti-gate,kæ.stɪ.geɪt,3.0
blether,bleth-er,blɛ.ðəR,2.0
acidulated,a-cid-u-lat-ed,ə.sɪ.djʊ.leɪ.tɪd,5.0
civil list,civ-il list,sɪ.vəl.lɪst,3.0
color line,col-or line,kʌ.lə.laɪn,3.0
catchily,catch-i-ly,kæ.tʃɪ.lɪ,3.0
alliteratively,al-lit-er-a-tive-ly,ə.lɪ.tə.ɹə.tɪv.lɪ,6.0
bossiness,boss-i-ness,bɑ.sɪ.nɪs,3.0
bloodsucker,blood-suck-er,blʌd."sʌ.kəR,3.0
burnt offering,burnt of-fer-ing,"bɚnt.ɑ.fə.ɹɪŋ,4.0
cholesterol,cho-les-ter-ol,kə.lɛs.tə.ɹɑl,4.0
bloody,blood-y,blʌ.dɪ,2.0
blockage,block-age,blɑ.kɪdʒ,2.0
ashy,ash-y,æ.ʃɪ,2.0
activity,ac-tiv-i-ty,æk.tɪ.və.tɪ,4.0
accusing,ac-cus-ing,ə.kjuː.zɪŋ,3.0
comic book,com-ic book,kɑ.mɪk.bʊk,3.0
adherence,ad-her-ence,əd.hɪɚ.ɹəns,3.0
chromatic,chro-mat-ic,kɹoʊ.mæ.tɪk,3.0
amicable,am-i-ca-ble,æ.mɪ.kə.bəl,4.0
comb.,comb.,"kɑm.bɪ.neɪ.ʃən,4.0
caraway,car-a-way,kæ.ɹə.weɪ,3.0
bomb disposal squad,bomb dis-pos-al squad,bɑm.dɪ."spoʊ.zəl.skwɑd,5.0
cataclysmic,cat-a-clys-mic,"kæ.tə.klɪz.mɪk,4.0
amendable,a-mend-a-ble,ə.mɛn.də.bəl,4.0
allopathically,al-lo-path-i-cal-ly,"æ.lə.pæ.θɪ.kə.lɪ,6.0
avoidable,a-void-a-ble,ə.vɔɪ.də.bəl,4.0
A-level,A--lev-el,eɪ."lɛ.vəl,3.0
audacity,au-dac-i-ty,ɔɚ.dæ.sə.tɪ,4.0
clutches,clutch-es,klʌ.tʃɪz,2.0
automatism,au-tom-a-tism,ɔɚ.tɑ.mə.tɪ.zəm,5.0
clinical thermometer,clin-i-cal ther-mom-e-ter,"klɪ.nɪ.kəl.θə.mɑ.mɪ.təR,7.0
authoress,au-thor-ess,ɔɚ.θə.ɹɪs,3.0
bookbinding,book-bind-ing,bʊk."baɪn.dɪŋ,3.0
Arab,Ar-ab,æ.ɹəb,2.0
canonical,ca-non-i-cal,kə.nɑ.nɪ.kəl,4.0
cheering,cheer-ing,tʃɪɚ.ɹɪŋ,2.0
alimony,al-i-mo-ny,æ.lɪ.mə.nɪ,4.0
apathy,ap-a-thy,æ.pə.θɪ,3.0
basilica,ba-sil-i-ca,bə.zɪ.lɪ.kə,4.0
colour scheme,col-our scheme,kʌ.lə.skiːm,3.0
anon.,anon.,ə.nɑn,2.0
astrolabe,as-tro-labe,æ.stɹoʊ.leɪb,3.0
celerity,ce-ler-i-ty,sɪ.lɛ.ɹə.tɪ,4.0
claret,clar-et,klæ.ɹət,2.0
allopathic,al-lo-path-ic,"æ.loʊ.pæ.θɪk,4.0
commercialism,com-mer-cial-ism,kə.mɚ.ʃə.lɪ.zəm,5.0
Aries,Ar-ies,ɛɚ.ɹiːz,2.0
atonally,a-ton-al-ly,eɪ.toʊ.nəl.ɪ,4.0
atomic pile,a-tom-ic pile,ə."tɑ.mɪk.paɪl,4.0
commoner,com-mon-er,kɑ.mə.nəR,3.0
bewitchingly,be-witch-ing-ly,bɪ.wɪ.tʃɪŋ.lɪ,4.0
Cinderella,Cin-der-el-la,"sɪn.də.ɹɛ.lə,4.0
adverbially,ad-ver-bi-al-ly,əd.vɚ.bjə.lɪ,4.0
anode,an-ode,æ.noʊd,2.0
beer money,beer mon-ey,bɪɚ."mʌ.nɪ,3.0
actual,ac-tu-al,æk.tʃʊɚl,2.0
churchwarden,church-ward-en,"tʃɚtʃ.wɔɚ.dən,3.0
blue-blooded,blue--blood-ed,"bluː.blʌ.dɪd,3.0
cloudiness,cloud-i-ness,klaʊ.dɪ.nɪs,3.0
becomingly,be-com-ing-ly,bɪ.kʌ.mɪŋ.lɪ,4.0
charabanc,char-a-banc,ʃæ.ɹə.bæŋ,3.0
accursedly,ac-curs-ed-ly,ə.kɚ.sɪd.lɪ,4.0
admiring,ad-mir-ing,əd.maɪ.ə.ɹɪŋ,4.0
colicky,col-ick-y,kɑ.lɪ.kɪ,3.0
all-rounder,all--round-er,ɔɚl.ɹaʊn.dəR,3.0
aetiology,ae-ti-ol-o-gy,"iː.tɪ.ɑ.lə.dʒɪ,5.0
calorie,cal-o-rie,kæ.lə.ɹɪ,3.0
cheerily,cheer-i-ly,tʃɪɚ.ɹə.lɪ,3.0
arresting,ar-rest-ing,ə.ɹɛ.stɪŋ,3.0
canalize,ca-nal-ize,kæ.nə.laɪz,3.0
calends,cal-ends,kæ.lɪndz,2.0
caterwaul,cat-er-waul,kæ.tə.wɔɚl,3.0
ascetically,as-cet-i-cal-ly,ə.sɛ.tɪ.kə.lɪ,5.0
aqueduct,aq-ue-duct,æ.kwɪ.dʌkt,3.0
choosy,choos-y,tʃuː.zɪ,2.0
bracken,brack-en,bɹæ.kən,2.0
catastrophically,cat-a-stroph-i-cal-ly,"kæ.tə.stɹɑ.fɪ.kə.lɪ,6.0
acid,ac-id,æ.sɪd,2.0
commissioner,com-mis-sion-er,kə.mɪ.ʃən.əR,4.0
bitchily,bitch-i-ly,bɪ.tʃɪ.lɪ,3.0
autonomy,au-ton-o-my,ɔɚ.tɑ.nə.mɪ,4.0
chief justice,chief jus-tice,"tʃiːf.dʒʌ.stɪs,3.0
bobby-soxer,bob-by--sox-er,bɑ.bɪ."sɑk.səR,4.0
cockerel,cock-er-el,kɑ.kə.ɹəl,3.0
breakable,break-a-ble,bɹeɪ.kə.bəl,3.0
antecedent,an-te-ced-ent,"æn.tɪ.siː.dənt,4.0
carrier-pigeon,car-ri-er--pi-geon,kæ.ɹɪɚ."pɪ.dʒɪn,4.0
agricultural,ag-ri-cul-tur-al,"æ.gɹɪ.kʌl.tʃə.ɹəl,5.0
callisthenic,cal-lis-then-ic,"kæ.lɪs.θɛ.nɪk,4.0
catchment-area,catch-ment--ar-e-a,kætʃ.mənt."ɛɚ.ɹɪɚ,4.0
astronomer,as-tron-o-mer,ə.stɹɑ.nə.məR,4.0
bathing-suit,bath-ing--suit,beɪ.ðɪŋ.suːt,3.0
coaster,coast-er,koʊ.stəR,2.0
breakage,break-age,bɹeɪ.kɪdʒ,2.0
casualness,cas-u-al-ness,kæ.ʒʊɚl.nɪs,3.0
buttery,but-ter-y,bʌ.tə.ɹɪ,3.0
brigantine,brig-an-tine,bɹɪ.gən.tiːn,3.0
aetiologically,ae-ti-o-log-i-cal-ly,"iː.tɪɚ.lɑ.dʒɪ.kə.lɪ,6.0
catechize,cat-e-chize,kæ.tɪ.kaɪz,3.0
adultery,a-dul-ter-y,ə.dʌl.tə.ɹɪ,4.0
bushy,bush-y,bʊ.ʃɪ,2.0
Anglo-Indian,An-glo--In-di-an,"æŋ.gloʊ.ɪn.djən,4.0
blushing,blush-ing,blʌ.ʃɪŋ,2.0
choker,chok-er,tʃoʊ.kəR,2.0
clandestine,clan-des-tine,klæn.dɛ.stɪn,3.0
cleaner,clean-er,kliː.nəR,2.0
anthologist,an-thol-o-gist,æn.θɑ.lə.dʒɪst,4.0
brighten,bright-en,bɹaɪ.tən,2.0
attested,at-test-ed,ə.tɛs.tɪd,3.0
cataclysm,cat-a-clysm,kæ.tə.klɪ.zəm,4.0
aristocracy,ar-is-toc-ra-cy,"æ.ɹɪ.stɑ.kɹə.sɪ,5.0
bosom,bos-om,bʊ.zəm,2.0
beloved,be-lov-ed,bɪ.lʌvd,2.0
admonitory,ad-mon-i-to-ry,əd.mɑ.nɪ.tə.ɹɪ,5.0
clothes-hanger,clothes--hang-er,kloʊðz."hæ.ŋəR,3.0
breviary,bre-vi-ar-y,bɹiː.vjə.ɹɪ,3.0
canary-wine,ca-nar-y--wine,kə.nɛɚ.ɹɪ.waɪn,4.0
breathing-space,breath-ing--space,bɹiː.ðɪŋ.speɪs,3.0
baccalaureate,bac-ca-lau-re-ate,"bæ.kə.lɔɚ.ɹɪɚt,4.0
anecdotal,an-ec-do-tal,"æ.nɛk.doʊ.təl,4.0
antagonistic,an-tag-o-nis-tic,æn."tæ.gə.nɪ.stɪk,5.0
antipathetically,an-ti-pa-thet-i-cal-ly,"æn.tɪ.pə.θɛ.tɪ.klɪ,6.0
breaded,bread-ed,bɹɛ.dɪd,2.0
bilabial,bi-la-bi-al,"baɪ.leɪ.bjəl,3.0
blinder,blind-er,blaɪn.dəR,2.0
celebrant,cel-e-brant,sɛ.lɪ.bɹənt,3.0
assimilation,as-sim-i-la-tion,ə."sɪ.mɪ.leɪ.ʃən,5.0
ambience,am-bi-ence,æm.bɪɚns,2.0
casual,cas-u-al,kæ.ʒʊɚl,2.0
agitate,ag-i-tate,æ.dʒɪ.teɪt,3.0
calculating,cal-cu-lat-ing,kæl.kjʊ.leɪ.tɪŋ,4.0
Afro-wig,Af-ro--wig,"æ.fɹoʊ.wɪg,3.0
anise,an-ise,æ.nɪs,2.0
charity,char-i-ty,tʃæ.ɹə.tɪ,3.0
BrE,BrE,"bɹɪ.tɪʃ.ɪŋ.glɪʃ,4.0
adaptable,a-dapt-a-ble,ə.dæp.tə.bəl,4.0
auxiliary,aux-il-ia-ry,ɔɚg.zɪ.ljə.ɹɪ,4.0
circumlocutory,cir-cum-loc-u-to-ry,"sɚ.kəm.lɑ.kjʊ.tə.ɹɪ,6.0
astrologer,as-trol-o-ger,ə.stɹɑ.lə.dʒəR,4.0
bathing-cap,bath-ing--cap,beɪ.ðɪŋ.kæp,3.0
Aquarius,A-quar-i-us,ə.kwɛɚ.ɹɪɚs,3.0
body-servant,bod-y--serv-ant,bɑ.dɪ."sɚ.vənt,4.0
caroller,car-ol-ler,kæ.ɹə.ləR,3.0
anaesthetic,an-aes-thet-ic,"æ.nɪs.θɛ.tɪk,4.0
alpinist,al-pin-ist,æl.pɪ.nɪst,3.0
Brazilian,Bra-zil-ian,bɹə.zɪ.ljən,3.0
actuary,ac-tu-ar-y,æk.tjʊɚ.ɹɪ,3.0
camera,cam-er-a,kæ.mə.ɹə,3.0
coltishness,colt-ish-ness,koʊl.tɪʃ.nɪs,3.0
coloratura,col-o-ra-tu-ra,"kɑ.lə.ɹə.tʊɚ.ɹə,5.0
breeches,breech-es,bɹɪ.tʃɪz,2.0
bowler,bowl-er,boʊ.ləR,2.0
audience,au-di-ence,ɔɚ.djəns,2.0
club together,club to-geth-er,"klʌb.tə.gɛ.ðəR,4.0
Chinese,Chin-ese,"tʃaɪ.niːz,2.0
castanets,cas-ta-nets,"kæ.stə.nɛts,3.0
buzzer,buzz-er,bʌ.zəR,2.0
chunky,chunk-y,tʃʌŋ.kɪ,2.0
aneroid,an-er-oid,æ.nə.ɹɔɪd,3.0
clangorous,clang-or-ous,klæŋ.gə.ɹəs,3.0
brother,broth-er,bɹʌ.ðəR,2.0
bowling,bowl-ing,boʊ.lɪŋ,2.0
biologically,bi-o-log-i-cal-ly,"baɪ.oʊ.lɑ.dʒɪ.kə.lɪ,6.0
CIA,CIA,"siː.aɪ.eɪ,3.0
annual,an-nu-al,æ.njʊɚl,2.0
chequer,cheq-uer,tʃɛ.kəR,2.0
civil defence,civ-il de-fence,"sɪ.vəl.dɪ.fɛns,4.0
bustard,bus-tard,bʌ.stəd,2.0
chaotic,cha-ot-ic,keɪ.ɑ.tɪk,3.0
buxom,bux-om,bʌk.səm,2.0
alveolar,al-ve-o-lar,æl.vɪɚ.ləR,3.0
audiovisual,au-di-o-vis-u-al,"ɔɚ.dɪ.oʊ.vɪ.ʒʊɚl,5.0
cheery,cheer-y,tʃɪɚ.ɹɪ,2.0
agile,ag-ile,æ.dʒaɪl,2.0
assorted,as-sort-ed,ə.sɔɚ.tɪd,3.0
adversary,ad-ver-sar-y,æd.və.sə.ɹɪ,4.0
briny,brin-y,bɹaɪ.nɪ,2.0
amusing,a-mus-ing,ə.muː.zɪŋ,3.0
calculating machine,cal-cu-lat-ing ma-chine,kæl.kjʊ.leɪ.tɪŋ.mə."ʃiːn,6.0
bumpiness,bump-i-ness,bʌm.pɪ.nɪs,3.0
chafer,chaf-er,tʃeɪ.fəR,2.0
Catalan,Cat-a-lan,kæ.tə.læn,3.0
Celsius,Cel-si-us,sɛl.sɪɚs,2.0
climatology,cli-ma-tol-o-gy,"klaɪ.mə.tɑ.lə.dʒɪ,5.0
bloodiness,blood-i-ness,blʌ.dɪ.nɪs,3.0
amiably,a-mi-a-bly,eɪ.mjə.blɪ,3.0
careerist,ca-reer-ist,kə.ɹɪɚ.ɹɪst,3.0
balance,bal-ance,bæ.ləns,2.0
acoustics,a-cous-tics,ə.kuː.stɪks,3.0
aeronautics,aer-o-naut-ics,"ɛɚ.ɹə.nɔɚ.tɪks,4.0
capitalization,cap-i-tal-i-za-tion,"kæ.pɪ.tə.laɪ.zeɪ.ʃən,6.0
characterization,char-ac-ter-i-za-tion,"kæ.ɹək.tə.ɹaɪ.zeɪ.ʃən,6.0
Camembert,Cam-em-bert,kæ.məm.bɛɚR,3.0
atheistically,a-the-is-ti-cal-ly,"eɪ.θɪ.ɪ.stɪ.kə.lɪ,6.0
abnormality,ab-nor-mal-i-ty,"æb.nɔɚ.mæ.lə.tɪ,5.0
alcoholic,al-co-hol-ic,"æl.kə.hɑ.lɪk,4.0
amenable,a-me-na-ble,ə.miː.nə.bəl,4.0
amazonian,am-a-zo-ni-an,"æ.mə.zoʊ.njən,4.0
affirmative,af-firm-a-tive,ə.fɚ.mə.tɪv,4.0
carroty,car-rot-y,kæ.ɹə.tɪ,3.0
Arabic numeral,Ar-a-bic nu-mer-al,"æ.ɹə.bɪk.njuː.mə.ɹəl,6.0
accelerando,ac-cel-er-an-do,ə."tʃɛ.lə.ɹæn.doʊ,5.0
Amharic,Am-har-ic,æm.hæ.ɹɪk,3.0
analogue,an-a-logue,æ.nə.lɑg,3.0
alexia,a-lex-i-a,eɪ.lɛk.sɪɚ,3.0
anti-Semite,an-ti--Sem-ite,"æn.tɪ.siː.maɪt,4.0
antipathetic,an-ti-pa-thet-ic,"æn.tɪ.pə.θɛ.tɪk,5.0
climatically,cli-mat-i-cal-ly,klaɪ.mæ.tɪ.kə.lɪ,5.0
Comecon,Comecon,kɑ.mɪ.kɑn,3.0
adulteress,a-dul-ter-ess,ə.dʌl.tə.ɹɪs,4.0
Catholic,Cath-o-lic,kæ.θə.lɪk,3.0
bunion,bun-ion,bʌn.jən,2.0
caravan,car-a-van,kæ.ɹə.væn,3.0
bilious,bil-ious,bɪ.ljəs,2.0
boric acid,bo-ric ac-id,"bɔɚ.ɹɪk.æ.sɪd,4.0
caravanserai,car-a-van-se-rai,"kæ.ɹə.væn.sə.ɹaɪ,5.0
body-snatcher,bod-y--snatch-er,bɑ.dɪ."snæ.tʃəR,4.0
chauvinism,chau-vin-ism,ʃoʊ.vɪ.nɪ.zəm,4.0
astrophysical,as-tro-phys-i-cal,"æ.stɹoʊ.fɪ.zɪ.kəl,5.0
aerodynamically,aer-o-dy-nam-i-cal-ly,"ɛɚ.ɹoʊ.daɪ.næ.mɪ.klɪ,6.0
agitated,ag-i-tat-ed,æ.dʒɪ.teɪ.tɪd,4.0
chopfallen,chop-fall-en,tʃɑp."fɔɚ.lən,3.0
botulism,bot-u-lism,bɑ.tjʊ.lɪ.zəm,4.0
breathiness,breath-i-ness,bɹɛ.θɪ.nɪs,3.0
combined operations,com-bined op-e-ra-tions,kəm."baɪnd.ɑ.pə.ɹeɪ.ʃənz,6.0
champion,cham-pi-on,tʃæm.pjən,2.0
Cinderella,Cin-der-el-la,"sɪn.də.ɹɛ.lə,4.0
brooder,brood-er,bɹuː.dəR,2.0
calibrate,cal-i-brate,kæ.lɪ.bɹeɪt,3.0
agilely,ag-ile-ly,æ.dʒaɪl.lɪ,3.0
combative,com-bat-ive,kɑm.bə.tɪv,3.0
bleeding,bleed-ing,bliː.dɪŋ,2.0
ascribable to,a-scrib-a-ble to,əs.kɹaɪ.bə.bəl.tuː,5.0
cigarette lighter,cig-a-rette light-er,"sɪ.gə.ɹɛt."laɪ.təR,5.0
calamitous,ca-lam-i-tous,kə.læ.mɪ.təs,4.0
benefactress,ben-e-fac-tress,bɛ.nɪ.fæk.tɹɪs,4.0
calamine lotion,cal-a-mine lo-tion,"kæ.lə.maɪn.loʊ.ʃən,5.0
capitation,cap-i-ta-tion,"kæ.pɪ.teɪ.ʃən,4.0
chasten,chas-ten,tʃeɪ.sən,2.0
clearance sale,clear-ance sale,klɪɚ.ɹəns.seɪl,3.0
chastity belt,chas-ti-ty belt,tʃæ.stə.tɪ.bɛlt,4.0
approximate,ap-prox-i-mate,ə.pɹɑk.sɪ.mət,4.0
calligraphist,cal-lig-ra-phist,kə.lɪ.gɹə.fɪst,4.0
certified public accountant,cer-ti-fied pub-lic ac-count-ant,"sɚ.tɪ.faɪd."pʌ.blɪk.ə.kaʊn.tənt,8.0
capital,cap-i-tal,kæ.pɪ.təl,3.0
bestiality,bes-ti-al-i-ty,"bɛ.stɪ.æ.lə.tɪ,5.0
activist,ac-tiv-ist,æk.tɪ.vɪst,3.0
apologetic,a-pol-o-get-ic,ə."pɑ.lə.dʒɛ.tɪk,5.0
bandwagon,band-wag-on,bænd."wæ.gən,3.0
affinity,af-fin-i-ty,ə.fɪ.nə.tɪ,4.0
chatterer,chat-ter-er,tʃæ.tə.ɹəR,3.0
benefactor,ben-e-fac-tor,bɛ.nɪ.fæk.təR,4.0
carol,car-ol,kæ.ɹəl,2.0
climatic,cli-mat-ic,klaɪ.mæ.tɪk,3.0
bearish,bear-ish,bɛɚ.ɹɪʃ,2.0
astrakhan,as-tra-khan,"æ.stɹə.kæn,3.0
brawler,brawl-er,bɹɔɚ.ləR,2.0
altruism,al-tru-ism,æl.tɹʊ.ɪ.zəm,4.0
ascendancy,as-cend-an-cy,ə.sɛn.dən.sɪ,4.0
chigoe,chig-oe,tʃɪ.goʊ,2.0
antibiotic,an-ti-bi-ot-ic,"æn.tɪ.baɪ.ɑ.tɪk,5.0
asterisk,as-ter-isk,æ.stə.ɹɪsk,3.0
cabaret,cab-a-ret,kæ.bə.ɹeɪ,3.0
