# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
a priori;;a pri-o-ri;;"1-pr2-$-r2;;4
aptitude;;ap-ti-tude;;{p-tI-tjud;;3
aptly;;apt-ly;;{pt-lI;;2
aquaplane;;aq-ua-plane;;{-kw@-pl1n;;3
aquarium;;a-quar-i-um;;@-kw8-r7m;;3
Aquarius;;A-quar-i-us;;@-kw8-r7s;;3
Aquarius;;A-quar-i-us;;@-kw8-r7s;;3
aquatic;;a-quat-ic;;@-kw{-tIk;;3
aqua vitae;;aq-ua vi-tae;;"{-kw@-v2-ti;;4
aqueduct;;aq-ue-duct;;{-kwI-dVkt;;3
aqueous;;a-que-ous;;1-kw7s;;2
aquiline;;aq-ui-line;;{-kwI-l2n;;3
Arab;;Ar-ab;;{-r@b;;2
Arabia;;A-ra-bi-a;;@-r1-bj@;;3
Arabic;;Ar-a-bic;;{-r@-bIk;;3
Arabic;;Ar-a-bic;;{-r@-bIk;;3
Arabic numeral;;Ar-a-bic nu-mer-al;;"{-r@-bIk-nju-m@-r@l;;6
Arabist;;Ar-ab-ist;;{-r@-bIst;;3
arachnid;;a-rach-nid;;@-r{k-nId;;3
arbitrament;;ar-bit-ra-ment;;#-bI-tr@-m@nt;;4
arbitrariness;;ar-bi-trar-i-ness;;#-bI-tr@-rI-nIs;;5
arbitrary;;ar-bi-trar-y;;#-bI-tr@-rI;;4
arbitration;;ar-bi-tra-tion;;"#-bI-tr1-SH;;4
arbitrator;;ar-bi-tra-tor;;#-bI-tr1-t@R;;4
arboreal;;ar-bo-re-al;;#-b$-r7l;;3
arboretum;;ar-bo-re-tum;;"#-b@-ri-t@m;;4
arbour;;ar-bour;;#-b@R;;2
arc;;arc;;#k;;1
Arcadia;;Ar-ca-di-a;;#-k1-dj@;;3
Arcadian;;Ar-ca-di-an;;#-k1-dj@n;;3
arch;;arch;;#J;;1
arch;;arch;;#J;;1
arch;;arch;;#J;;1
archaeological;;ar-chae-o-log-i-cal;;"#-k7-lQ-_I-kP;;5
archaeologist;;ar-chae-ol-o-gist;;"#-kI-Q-l@-_Ist;;5
archaic;;ar-cha-ic;;#-k1-Ik;;3
archaism;;ar-cha-ism;;#-k1-I-z@m;;4
archbishop;;arch-bish-op;;"#J-bI-S@p;;3
archbishopric;;arch-bish-op-ric;;"#J-bI-S@p-rIk;;4
archdeacon;;arch-dea-con;;"#J-di-k@n;;3
archdeaconry;;arch-dea-con-ry;;"#J-di-k@n-rI;;4
archdiocese;;arch-di-o-cese;;"#J-d2-@-sIs;;4
archer;;arch-er;;#-J@R;;2
archery;;ar-cher-y;;#-J@-rI;;3
archetypically;;ar-che-typ-i-cal-ly;;"#-k@-tI-pI-k@-lI;;6
archimandrite;;ar-chi-man-drite;;"#-kI-m{n-dr2t;;4
archipelago;;ar-chi-pel-a-go;;"#-kI-pE-lI-g5;;5
architectural;;ar-chi-tec-tur-al;;"#-kI-tEk-J@-r@l;;5
architecture;;ar-chi-tec-ture;;#-kI-tEk-J@R;;4
archives;;ar-chives;;#-k2vz;;2
archivist;;ar-chi-vist;;#-kI-vIst;;3
archly;;arch-ly;;#J-lI;;2
arc-lamp;;arc--lamp;;#k-l{mp;;2
Arctic;;Arc-tic;;#k-tIk;;2
arc welding;;arc weld-ing;;"#k-wEl-dIN;;3
ardent;;ar-dent;;#-d@nt;;2
ardour;;ar-dour;;#-d@R;;2
arduously;;ar-du-ous-ly;;#-dj9s-lI;;3
arduousness;;ar-du-ous-ness;;#-dj9s-nIs;;3
are;;are;;#R;;1
aren't;;aren't;;#nt;;1
ar^ete;;ar-ete;;@-rEt;;2
argent;;ar-gent;;#-_@nt;;2
Argentina;;Ar-gen-ti-na;;"#-_@n-ti-n@;;4
argon;;ar-gon;;#-gQn;;2
arguable;;ar-gu-a-ble;;#-gj9-bP;;3
argue;;ar-gue;;#-gju;;2
argumentation;;ar-gu-men-ta-tion;;"#-gjU-mEn-t1-SH;;5
argumentative;;ar-gu-men-ta-tive;;"#-gjU-mEn-t@-tIv;;5
argumentatively;;ar-gu-men-ta-tive-ly;;"#-gjU-mEn-t@-tIv-lI;;6
Argus;;Ar-gus;;#-g@s;;2
argy-bargy;;ar-gy--bar-gy;;"#-_I-b#-_I;;4
aria;;a-ri-a;;#-r7;;2
aridity;;a-rid-i-ty;;{-rI-d@-tI;;4
aridly;;ar-id-ly;;{-rId-lI;;3
Aries;;Ar-ies;;8-riz;;2
Aries;;Ar-ies;;8-riz;;2
aristocracy;;ar-is-toc-ra-cy;;"{-rI-stQ-kr@-sI;;5
aristocratically;;a-ris-to-crat-i-cal-ly;;"{-rI-st@-kr{-tI-k@-lI;;7
arithmetic;;a-rith-me-tic;;@-rIT-m@-tIk;;4
arithmetical;;ar-ith-met-i-cal;;"{-rIT-mE-tI-kP;;5
arithmetic progression;;a-rith-me-tic pro-gres-sion;;{-rIT-"mE-tIk-pr5-grE-SH;;7
ark;;ark;;#k;;1
Ark of the Covenant;;Ark of the Cov-e-nant;;"#k-Qv-D@-kV-v@-n@nt;;6
armada;;ar-ma-da;;#-m#-d@;;3
armadillo;;ar-ma-dil-lo;;"#-m@-dI-l5;;4
armament;;ar-ma-ment;;#-m@-m@nt;;3
armband;;arm-band;;#m-b{nd;;2
armed;;armed;;#md;;1
armful;;arm-ful;;#m-fUl;;2
armhole;;arm-hole;;#m-h5l;;2
armistice;;ar-mi-stice;;#-mI-stIs;;3
armless;;arm-less;;#m-lIs;;2
armlet;;arm-let;;#m-lIt;;2
armoire;;ar-moire;;#m-w#R;;2
armour;;ar-mour;;#-m@R;;2
armour-clad;;ar-mour--clad;;#-m@-kl{d;;3
armour-plate;;ar-mour--plate;;#-m@-pl1t;;3
armoury;;ar-mour-y;;#-m@-rI;;3
armpit;;arm-pit;;#m-pIt;;2
arms-race;;arms--race;;#mz-r1s;;2
army;;ar-my;;#-mI;;2
army corps;;ar-my corps;;#-mI-k$R;;3
army list;;ar-my list;;#-mI-lIst;;3
aroma;;a-ro-ma;;@-r5-m@;;3
aromatic;;ar-o-mat-ic;;"{-r5-m{-tIk;;4
arr.;;arr.;;@-r1n_d;;2
arrack;;ar-rack;;{-r@k;;2
arraignment;;ar-raign-ment;;@-r1n-m@nt;;3
arrange;;ar-range;;@-r1n_;;2
arrange for;;ar-range for;;@-r1n_-f$R;;3
array;;ar-ray;;@-r1;;2
arrears;;ar-rears;;@-r7z;;2
arrest;;ar-rest;;@-rEst;;2
arrester;;ar-rest-er;;@-rE-st@R;;3
arresting;;ar-rest-ing;;@-rE-stIN;;3
arrive;;ar-rive;;@-r2v;;2
arrogance;;ar-ro-gance;;{-r@-g@ns;;3
arrogant;;ar-ro-gant;;{-r@-g@nt;;3
arrogantly;;ar-ro-gant-ly;;{-r@-g@nt-lI;;4
arrowroot;;ar-row-root;;{-r@-rut;;3
arse;;arse;;#s;;1
arse around;;arse a-round;;"#s-@-r6nd;;3
arsenal;;ar-se-nal;;#-s@-nP;;3
arsenic;;ar-se-nic;;#s-nIk;;2
arson;;ar-son;;#-sH;;2
artful;;art-ful;;#t-fUl;;2
artfulness;;art-ful-ness;;#t-fUl-nIs;;3
arthritic;;ar-thrit-ic;;#-TrI-tIk;;3
Arthur;;Ar-thur;;#-T@R;;2
article;;ar-ti-cle;;#-tI-kP;;3
articulate;;ar-tic-u-late;;#-tI-kjU-l1t;;4
articulately;;ar-tic-u-late-ly;;#-tI-kjU-l@t-lI;;5
articulation;;ar-tic-u-la-tion;;#-"tI-kjU-l1-SH;;5
artifact;;ar-ti-fact;;#-tI-f{kt;;3
artificial insemination;;ar-ti-fi-cial in-sem-i-na-tion;;"#-tI-fI-SP-In-sE-mI-n1-SH;;9
artificiality;;ar-ti-fi-ci-al-i-ty;;"#-tI-fI-SI-{-l@-tI;;7
artificially;;ar-ti-fi-cial-ly;;"#-tI-fI-S@-lI;;5
artiness;;art-i-ness;;#-tI-nIs;;3
artiste;;ar-tiste;;#-tist;;2
artistic;;ar-tis-tic;;#-tI-stIk;;3
artistically;;ar-tis-ti-cal-ly;;#-tI-stI-k@-lI;;5
artistry;;ar-tist-ry;;#-tIs-trI;;3
artlessly;;art-less-ly;;#t-lIs-lI;;3
arts and crafts;;arts and crafts;;"#ts-{nd-kr#fts;;3
arty-crafty;;art-y--craft-y;;"#-tI-kr#f-tI;;4
arum;;ar-um;;8-r@m;;2
as;;as;;{z;;1
as;;as;;{z;;1
asbestos;;as-bes-tos;;{s-bE-stQs;;3
ascendancy;;as-cend-an-cy;;@-sEn-d@n-sI;;4
ascendant;;as-cend-ant;;@-sEn-d@nt;;3
ascendent;;as-cend-ent;;@-sEn-d@nt;;3
ascent;;as-cent;;@-sEnt;;2
ascertain;;as-cer-tain;;"{-s@-t1n;;3
ascetic;;as-cet-ic;;@-sE-tIk;;3
ascetically;;as-cet-i-cal-ly;;@-sE-tI-k@-lI;;5
ascorbic acid;;a-scor-bic ac-id;;@-"sk$-bIk-{-sId;;5
ascribable;;a-scrib-a-ble;;@s-kr2-b@-bP;;4
ascribable to;;a-scrib-a-ble to;;@s-kr2-b@-bP-tu;;5
aseptic;;a-sep-tic;;1-"sEp-tIk;;3
aseptically;;a-sep-ti-cal-ly;;1-sEp-tI-k@-lI;;5
as from;;as from;;{z-frQm;;2
ashamedly;;a-sham-ed-ly;;@-S1-mId-lI;;4
ashen;;ash-en;;{-SH;;2
ash-key;;ash--key;;{S-ki;;2
ashy;;ash-y;;{-SI;;2
Asian;;A-sian;;1-SH;;2
Asiatic;;A-si-at-ic;;"1-SI-{-tIk;;4
aside;;a-side;;@-s2d;;2
aside from;;a-side from;;@-s2d-frQm;;3
as if;;as if;;{z-If;;2
askew;;a-skew;;@-skju;;2
askew;;a-skew;;@-skju;;2
asking;;ask-ing;;#-skIN;;2
asking price;;ask-ing price;;#-skIN-pr2s;;3
as long as;;as long as;;{z-lQN-{z;;3
as opposed to;;as op-posed to;;{z-@-p5z-tu;;4
asparagus;;as-par-a-gus;;@-sp{-r@-g@s;;4
aspect;;as-pect;;{-spEkt;;2
aspectual;;as-pec-tu-al;;{-spEk-J9l;;3
aspectually;;as-pec-tu-al-ly;;{-spEk-J9-lI;;4
asperse;;as-perse;;@-sp3s;;2
aspersion;;as-per-sion;;@-sp3-SH;;3
asphalt;;as-phalt;;{s-f{lt;;2
asphodel;;as-pho-del;;{s-f@-dEl;;3
asphyxia;;as-phyx-i-a;;@s-fIk-s7;;3
asphyxiate;;as-phyx-i-ate;;@s-fIk-sI-1t;;4
asphyxiation;;as-phyx-i-a-tion;;@s-"fIk-sI-1-SH;;5
aspic;;as-pic;;{-spIk;;2
aspirate;;as-pi-rate;;{-sp@-r1t;;3
aspire;;as-pire;;@-sp2-@R;;3
as regards;;as re-gards;;{z-rI-g#dz;;3
assassinate;;as-sas-si-nate;;@-s{-sI-n1t;;4
assault;;as-sault;;@-s$lt;;2
assault and battery;;as-sault and bat-ter-y;;@-"s$lt-{nd-b{-t@-rI;;6
assay;;as-say;;@-s1;;2
assemblage;;as-sem-blage;;@-sEm-blI_;;3
assemble;;as-sem-ble;;@-sEm-bP;;3
assembly room;;as-sem-bly room;;@-sEm-blI-rUm;;4
assent;;as-sent;;@-sEnt;;2
assent;;as-sent;;@-sEnt;;2
assert;;as-sert;;@-s3t;;2
assertion;;as-ser-tion;;@-s3-SH;;3
assertive;;as-ser-tive;;@-s3-tIv;;3
assertiveness;;as-ser-tive-ness;;@-s3-tIv-nIs;;4
assess;;as-sess;;@-sEs;;2
assessment;;as-sess-ment;;@-sEs-m@nt;;3
assessor;;as-ses-sor;;@-sE-s@R;;3
asseveration;;as-sev-er-a-tion;;@-"sE-v@-r1-SH;;5
assiduity;;as-si-du-i-ty;;"{-sI-dju-@-tI;;5
assignable;;as-sign-a-ble;;@-s2-n@-bP;;4
assignment;;as-sign-ment;;@-s2n-m@nt;;3
assimilation;;as-sim-i-la-tion;;@-"sI-mI-l1-SH;;5
assist;;as-sist;;@-sIst;;2
Association Football;;As-so-ci-a-tion Foot-ball;;@-"s5-sI-1-SH-fUt-b$l;;7
assonance;;as-so-nance;;{-s5-n@ns;;3
assorted;;as-sort-ed;;@-s$-tId;;3
assortment;;as-sort-ment;;@-s$t-m@nt;;3
assuage;;as-suage;;@-sw1_;;2
assume;;as-sume;;@-sjum;;2
assumption;;as-sump-tion;;@-sVmp-SH;;3
assure;;as-sure;;@-S$R;;2
assured;;as-sured;;@-S$d;;2
assuredly;;as-sur-ed-ly;;@-S$-rId-lI;;4
aster;;as-ter;;{-st@R;;2
asterisk;;as-ter-isk;;{-st@-rIsk;;3
asterisk;;as-ter-isk;;{-st@-rIsk;;3
astern;;a-stern;;@-st3n;;2
asteroid;;as-ter-oid;;{-st@-r4d;;3
asthma;;asth-ma;;{s-m@;;2
asthmatic;;asth-mat-ic;;{s-m{-tIk;;3
asthmatic;;asth-mat-ic;;{s-m{-tIk;;3
astir;;a-stir;;@-st3R;;2
astir;;a-stir;;@-st3R;;2
as to;;as to;;{z-tu;;2
astonishing;;as-ton-ish-ing;;@-stQ-nI-SIN;;4
astrakhan;;as-tra-khan;;"{-str@-k{n;;3
astray;;a-stray;;@-str1;;2
astringent;;as-trin-gent;;@-strIn-_@nt;;3
astrodome;;as-tro-dome;;{-str@-d5m;;3
astrolabe;;as-tro-labe;;{-str5-l1b;;3
astrologer;;as-trol-o-ger;;@-strQ-l@-_@R;;4
astrology;;as-trol-o-gy;;@s-trQ-l@-_I;;4
astronaut;;as-tro-naut;;{-str@-n$t;;3
astronomer;;as-tron-o-mer;;@-strQ-n@-m@R;;4
astronomically;;as-tro-nom-i-cal-ly;;"{-str@-nQ-mI-k@-lI;;6
astronomy;;as-tron-o-my;;@s-trQ-n@-mI;;4
astrophysical;;as-tro-phys-i-cal;;"{-str5-fI-zI-kP;;5
astutely;;as-tute-ly;;@-stut-lI;;3
astuteness;;as-tute-ness;;@-stjut-nIs;;3
asylum;;a-sy-lum;;@-s2-l@m;;3
asymmetric;;a-sym-met-ric;;"1-sI-mE-trIk;;4
asymmetrically;;a-sym-met-ri-cal-ly;;"1-sI-mE-trI-k@-lI;;6
asymmetry;;a-sym-me-try;;"1-sI-m@-trI;;4
atabrine;;at-a-brine;;{-t@-brin;;3
atavism;;at-a-vism;;{-t@-vI-z@m;;4
atavistic;;at-a-vis-tic;;"{-t@-vI-stIk;;4
atchoo;;a-tchoo;;@-Ju;;2
atheistic;;a-the-is-tic;;"1-TI-I-stIk;;4
atheistically;;a-the-is-ti-cal-ly;;"1-TI-I-stI-k@-lI;;6
athlete;;ath-lete;;{T-lit;;2
athlete's foot;;ath-lete's foot;;"{T-lits-fUt;;3
athwart;;a-thwart;;@-Tw$t;;2
athwart;;a-thwart;;@-Tw$t;;2
atlantic;;at-lan-tic;;@t-l{n-tIk;;3
atlas;;at-las;;{t-l@s;;2
atmosphere;;at-mos-phere;;{t-m@-sf7R;;3
atmospheric pressure;;at-mos-pher-ic pres-sure;;"{t-m@s-fE-rIk-prE-S@R;;6
atoll;;a-toll;;{-tQl;;2
atom bomb;;at-om bomb;;{-t@m-bQm;;3
atomic energy;;a-tom-ic en-er-gy;;@-"tQ-mIk-E-n@-_I;;6
atomic pile;;a-tom-ic pile;;@-"tQ-mIk-p2l;;4
atomic weight;;a-tom-ic weight;;@-"tQ-mIk-w1t;;4
atomize;;at-om-ize;;{-t5-m2z;;3
atomizer;;at-om-iz-er;;{-t5-m2-z@R;;4
atonality;;a-to-nal-i-ty;;"1-t5-n{-l@-tI;;5
atonally;;a-ton-al-ly;;1-t5-nP-I;;4
atrocious;;a-tro-cious;;@-tr5-S@s;;3
atrophy;;at-ro-phy;;{-tr@-fI;;3
attach;;at-tach;;@-t{J;;2
attach to;;at-tach to;;@-t{J-tu;;3
attack;;at-tack;;@-t{k;;2
attack;;at-tack;;@-t{k;;2
attacker;;at-tack-er;;@-t{-k@R;;3
attainment;;at-tain-ment;;@-t1n-m@nt;;3
attar;;at-tar;;{-t@R;;2
attempt;;at-tempt;;@-tEmpt;;2
attention;;at-ten-tion;;@-tEn-SH;;3
attentive;;at-ten-tive;;@-tEn-tIv;;3
attentiveness;;at-ten-tive-ness;;@-tEn-tIv-nIs;;4
attenuate;;at-ten-u-ate;;@-tE-njU-1t;;4
attenuation;;at-ten-u-a-tion;;@-"tE-njU-1-SH;;5
attested;;at-test-ed;;@-tEs-tId;;3
Attic;;At-tic;;{-tIk;;2
attitude;;at-ti-tude;;{-tI-tjud;;3
attorn;;at-torn;;@-t3n;;2
attorney;;at-tor-ney;;@-t3-nI;;3
attraction;;at-trac-tion;;@-tr{k-SH;;3
attractive;;at-trac-tive;;@-tr{k-tIv;;3
attractively;;at-trac-tive-ly;;@-tr{k-tIv-lI;;4
attribute;;at-trib-ute;;{-trI-bjut;;3
attribution;;at-tri-bu-tion;;"{-trI-bju-SH;;4
attributive;;at-trib-u-tive;;@-trI-bjU-tIv;;4
attributively;;at-trib-u-tive-ly;;@-trI-bjU-tIv-lI;;5
attrition;;at-tri-tion;;@-trI-SH;;3
attune to;;at-tune to;;@-tjun-tu;;3
atypically;;a-typ-i-cal-ly;;"1-tI-pI-k@-lI;;5
aubergine;;au-ber-gine;;5-b@-Zin;;3
Aubriet;;Au-briet;;$-brI-1;;3
aubrietia;;au-brie-tia;;$-bri-S@;;3
auburn;;au-burn;;$-b@n;;2
auction;;auc-tion;;$k-SH;;2
auction bridge;;auc-tion bridge;;"$k-SH-brI_;;3
auctioneer;;auc-tion-eer;;"$k-S@-n7R;;3
audacious;;au-da-cious;;$-d1-S@s;;3
audaciously;;au-da-cious-ly;;$-d1-S@s-lI;;4
audacity;;au-dac-i-ty;;$-d{-s@-tI;;4
audibly;;au-di-bly;;$-d@-blI;;3
audience;;au-di-ence;;$-dj@ns;;2
audio;;au-di-o;;$-dI-5;;3
audio frequency;;au-di-o fre-quen-cy;;$-dI-5-"fri-kw@n-sI;;6
audio-lingual;;au-di-o--lin-gual;;"$-dI-5-lIN-gw@l;;5
audiovisual;;au-di-o-vis-u-al;;"$-dI-5-vI-Z9l;;5
audit;;au-dit;;$-dIt;;2
audition;;au-di-tion;;$-dI-SH;;3
auditor;;au-di-tor;;$-dI-t@R;;3
Aug.;;Aug.;;$-g@st;;2
auger;;au-ger;;$-g@R;;2
augmentation;;aug-men-ta-tion;;"$g-mEn-t1-SH;;4
augur;;au-gur;;$-g@R;;2
augur;;au-gur;;$-g@R;;2
augury;;au-gu-ry;;$-gjU-rI;;3
auk;;auk;;$k;;1
auld lang syne;;auld lang syne;;"$ld-l{N-s2n;;3
aunt;;aunt;;#nt;;1
auntie;;aunt-ie;;#n-tI;;2
au pair;;au pair;;"5-p8R;;2
aureole;;au-re-ole;;$-rI-5l;;3
auricle;;au-ri-cle;;$-rI-kP;;3
auricular;;au-ric-u-lar;;$-rI-kjU-l@R;;4
auriferous;;au-rif-er-ous;;$-rI-f@-r@s;;4
aurora;;au-ro-ra;;$-r$-r@;;3
auscultate;;aus-cul-tate;;$s-k@l-t1t;;3
auscultation;;aus-cul-ta-tion;;"$s-k@l-t1-SH;;4
Australasian;;Aus-tral-a-sian;;"Q-str@-l1-ZH;;4
autarchy;;au-tar-chy;;$-t#-kI;;3
authenticate;;au-then-ti-cate;;$-TEn-tI-k1t;;4
authentication;;au-then-ti-ca-tion;;$-"TEn-tI-k1-SH;;5
authoress;;au-thor-ess;;$-T@-rIs;;3
authoritarian;;au-thor-i-tar-i-an;;$-"TQ-rI-t8-r7n;;5
authoritative;;au-thor-i-ta-tive;;$-TQ-rI-t@-tIv;;5
authoritatively;;au-thor-i-ta-tive-ly;;$-TQ-rI-t@-tIv-lI;;6
autistically;;au-tis-ti-cal-ly;;$-tI-stI-k@-lI;;5
auto;;au-to;;$-t5;;2
autobahn;;au-to-bahn;;$-t5-b#n;;3
autobiographical;;au-to-bi-o-graph-i-cal;;"$-t5-"b2-5-gr{-fI-kP;;7
autobiographically;;au-to-bi-o-graph-i-cal-ly;;"$-t5-"b2-5-gr{-fI-k@-lI;;8
autobiography;;au-to-bi-og-ra-phy;;"$-t5-b2-Q-gr@-fI;;6
autocracy;;au-toc-ra-cy;;$-tQ-kr@-sI;;4
autocrat;;au-to-crat;;$-t5-kr{t;;3
autocratically;;au-to-crat-i-cal-ly;;"$-t5-kr{-tI-k@-lI;;6
auto-da-f#e;;au-to--da--fe;;"$-t5-d#-f1;;4
autoeroticism;;au-to-e-rot-i-cism;;"$-t5-I-rQ-tI-sI-z@m;;7
autoerotism;;au-to-er-o-tism;;"$-t5-E-r@-tI-z@m;;6
autograph;;au-to-graph;;$-t@-gr#f;;3
autograph album;;au-to-graph al-bum;;$-t@-gr#f-"{l-b@m;;5
autograph book;;au-to-graph book;;$-t@-gr#f-bUk;;4
automat;;au-to-mat;;$-t5-m{t;;3
automate;;au-to-mate;;$-t5-m1t;;3
automatic;;au-to-mat-ic;;$-t@-m{-tIk;;4
automatism;;au-tom-a-tism;;$-tQ-m@-tI-z@m;;5
Automobile Association;;Au-to-mo-bile As-so-ci-a-tion;;$-t@-m5-bil-@-s5-sI-"1-SH;;9
autonomously;;au-ton-o-mous-ly;;$-tQ-n@-m@s-lI;;5
autonomy;;au-ton-o-my;;$-tQ-n@-mI;;4
autostrada;;au-to-stra-da;;"$-t5-str#-d@;;4
autosuggestion;;au-to-sug-ges-tion;;"$-t5-s@-_Es-J@n;;5
autumn;;au-tumn;;$-t@m;;2
autumnally;;au-tum-nal-ly;;$-tVm-n@-lI;;4
auxiliary;;aux-il-ia-ry;;$g-zI-lj@-rI;;4
av.;;av.;;{-v@-rI_;;3
avail;;a-vail;;@-v1l;;2
avalanche;;av-a-lanche;;{-v@-l#nJ;;3
avant-garde;;a-vant--garde;;"{-vqN-g#d;;3
avaricious;;av-a-ri-cious;;"{-v@-rI-S@s;;4
avariciously;;av-a-ri-cious-ly;;"{-v@-rI-S@s-lI;;5
avatar;;av-a-tar;;"{-v@-t#R;;3
Ave.;;Ave.;;{-v@-nju;;3
avenger;;a-veng-er;;@-vEn-_@R;;3
avens;;av-ens;;1-vHz;;2
avenue;;av-e-nue;;{-v@-nju;;3
aver;;a-ver;;@-v3R;;2
average;;av-er-age;;{-v@-rI_;;3
average;;av-er-age;;{-v@-rI_;;3
averse;;a-verse;;@-v3s;;2
avert;;a-vert;;@-v3t;;2
aviary;;a-vi-ar-y;;1-vj@-rI;;3
aviation;;a-vi-a-tion;;"1-vI-1-SH;;4
aviator;;a-vi-a-tor;;1-vI-1-t@R;;4
avidly;;av-id-ly;;{-vId-lI;;3
avocado;;av-o-ca-do;;"{-v5-k#-d5;;4
avocet;;av-o-cet;;{-v5-sEt;;3
avoid;;a-void;;@-v4d;;2
avoidable;;a-void-a-ble;;@-v4-d@-bP;;4
avoidance;;a-void-ance;;@-v4-d@ns;;3
avoirdupois;;av-oir-du-pois;;"{-v@-d@-p4z;;4
avowed;;a-vowed;;@-v6d;;2
awake;;a-wake;;@-w1k;;2
awake;;a-wake;;@-w1k;;2
awaken;;a-wak-en;;@-w1-k@n;;3
awakening;;a-wak-en-ing;;@-w1k-nIN;;3
awake to;;a-wake to;;@-w1k-tu;;3
aware;;a-ware;;@-w8R;;2
awareness;;a-ware-ness;;@-w8-nIs;;3
awash;;a-wash;;@-wQS;;2
away;;a-way;;@-w1;;2
away;;a-way;;@-w1;;2
aweigh;;a-weigh;;@-w1;;2
awe-inspiringly;;awe--in-spir-ing-ly;;$-rIn-"sp2-@-rIN-lI;;6
awestricken;;awe-strick-en;;$-"strI-k@n;;3
awestruck;;awe-struck;;$-strVk;;2
awfully;;aw-ful-ly;;$-fU-lI;;3
awhile;;a-while;;@-w2l;;2
awkward;;awk-ward;;$-kw@d;;2
awkwardness;;awk-ward-ness;;$-kw@d-nIs;;3
axe;;axe;;{ks;;1
axiomatically;;ax-i-o-mat-i-cal-ly;;"{k-sI-5-m{-tI-k@-lI;;7
aye;;aye;;1;;1
aye;;aye;;1;;1
azalea;;a-zal-ea;;@-z1-lj@;;3
b;;b;;bi;;1
b;;b;;bi;;1
baa;;baa;;b#;;1
baa;;baa;;b#;;1
baa-lamb;;baa--lamb;;b#-l{m;;2
babble;;bab-ble;;b{-bP;;2
babble;;bab-ble;;b{-bP;;2
babbler;;bab-bler;;b{-bP-@R;;3
babel;;ba-bel;;b1-bP;;2
babu;;ba-bu;;b#-bu;;2
baby;;ba-by;;b1-bI;;2
baby carriage;;ba-by car-riage;;b1-bI-"k{-rI_;;4
baby-face;;ba-by--face;;b1-bI-f1s;;3
baby-faced;;ba-by--faced;;b1-bI-"f1st;;3
baby-farmer;;ba-by--farm-er;;b1-bI-"f#-m@R;;4
babyhood;;ba-by-hood;;b1-bI-hUd;;3
baby-sit;;ba-by--sit;;b1-bI-"sIt;;3
baby-sitter;;ba-by--sit-ter;;b1-bI-"sI-t@R;;4
baby-sitting;;ba-by--sit-ting;;b1-bI-"sI-tIN;;4
baby-talk;;ba-by--talk;;b1-bI-t$k;;3
baccalaureate;;bac-ca-lau-re-ate;;"b{-k@-l$-r7t;;4
baccarat;;bac-ca-rat;;b{-k@-r#;;3
bacchanal;;bac-cha-nal;;b{-k@-nP;;3
bacchanalian;;bac-cha-na-lian;;"b{-k@-n1-lj@n;;4
bachelor;;bach-e-lor;;b{-J@-l@R;;3
bachelor girl;;bach-e-lor girl;;b{-J@-l@-"g3l;;4
bachelor's degree;;bach-e-lor's de-gree;;b{-J@-l@z-dI-"gri;;5
bacillus;;ba-cil-lus;;b@-sI-l@s;;3
back;;back;;b{k;;1
backband;;back-band;;b{k-b{nd;;2
backbench;;back-bench;;b{k-bEnJ;;2
backbencher;;back-bench-er;;"b{k-bEn-J@R;;3
backbiting;;back-bit-ing;;b{k-b2-tIN;;3
back-blocks;;back--blocks;;b{k-blQks;;2
backboard;;back-board;;b{k-b$d;;2
backbone;;back-bone;;b{k-b5n;;2
backbreaking;;back-break-ing;;b{k-"br1-kIN;;3
backchat;;back-chat;;b{k-J{t;;2
back dive;;back dive;;"b{k-d2v;;2
backdoor;;back-door;;"b{k-d$R;;2
backdrop;;back-drop;;b{k-drQp;;2
backfire;;back-fire;;b{k-f2-@R;;3
backfire;;back-fire;;"b{k-f2-@R;;3
backgammon;;back-gam-mon;;b{k-"g{-m@n;;3
backhand;;back-hand;;b{k-h{nd;;2
backhand;;back-hand;;b{k-h{nd;;2
backhanded;;back-hand-ed;;b{k-"h{n-dId;;3
backlash;;back-lash;;b{k-l{S;;2
backless;;back-less;;b{k-lIs;;2
backmost;;back-most;;b{k-m5st;;2
back of beyond;;back of be-yond;;"b{k-Qv-bI-jQnd;;4
backroom;;back-room;;"b{k-rum;;2
backroom boy;;back-room boy;;b{k-rUm-b4;;3
backscratcher;;back-scratch-er;;b{k-skr{-J@R;;3
backspace;;back-space;;b{k-sp1s;;2
backstage;;back-stage;;"b{k-st1_;;2
backstair;;back-stair;;b{k-st8R;;2
backstroke;;back-stroke;;b{k-str5k;;2
backtrack;;back-track;;b{k-tr{k;;2
backward;;back-ward;;b{k-w@d;;2
backward;;back-ward;;b{k-w@d;;2
backward country;;back-ward coun-try;;"b{-kw@d-kVn-trI;;4
backwardly;;back-ward-ly;;b{-kw@d-lI;;3
backward nation;;back-ward na-tion;;"b{-kw@d-n1-SH;;4
backwardness;;back-ward-ness;;b{-kw@d-nIs;;3
backwards;;back-wards;;b{k-w@dz;;2
backwater;;back-wa-ter;;b{k-"w$-t@R;;3
backwoods;;back-woods;;b{k-wUdz;;2
bacon;;ba-con;;b1-k@n;;2
bacterial;;bac-te-ri-al;;b{k-t7-r7l;;3
bacteriologist;;bac-te-ri-ol-o-gist;;b{k-"t7-rI-Q-l@-_Ist;;6
